#,P1,Skill,Uncertainty
1,Warriors,33.80,1.79
2,Hawks,31.54,1.50
3,Blazers,31.26,1.49
4,Grizzlies,31.08,1.42
5,Rockets,30.45,1.49
26,Pacers,22.68,1.37
27,Celtics,22.55,1.48
28,76ers,19.09,1.66
29,Timberwolves,18.52,1.60
30,Knicks,17.28,1.63
