Date,T5_13_Mon_May_30_18:48:57_2016
Algorithm,Gibbs
Dataset,Tennis
Number of matches,251
Number of players,182
Number of teams,182
Number of iterations,4000
Elapsed time,171
Variance of proposal,None
Proposals accepted,None
Proposals rejected,None
