#,P1,Skill,Uncertainty
1,Nadal,39.10,2.85
2,Murray,38.60,3.14
3,Wawrinka,37.78,2.91
4,Djokovic,36.38,2.71
5,Berdych,34.64,3.18
6,Federer,34.40,2.95
7,Ferrer,34.16,2.79
8,DelPotro,33.92,3.50
9,Troicki,33.70,4.08
10,Tsonga,33.68,3.19
11,BautistaAgut,33.38,4.30
12,Robredo,33.36,3.09
13,Anderson,32.81,3.26
14,Nishikori,32.80,3.14
15,Dimitrov,32.67,3.47
16,Isner,32.54,4.59
17,Monfils,32.35,4.14
18,Gasquet,31.78,3.38
19,Fognini,31.00,3.87
20,Janowicz,30.99,3.38
21,Paire,30.79,3.71
22,Kokkinakis,30.01,5.60
23,Klizan,29.83,4.03
24,Dodig,29.57,3.98
25,Almagro,29.50,4.04
26,Cilic,29.26,4.45
27,Robert,29.23,4.05
28,Sijsling,29.11,4.09
29,Querrey,28.96,3.82
30,Youzhny,28.87,3.47
31,Gulbis,28.81,4.20
32,Melzer,28.44,4.45
33,Young,28.18,5.08
34,Lopez,28.14,3.53
35,Seppi,28.01,3.56
36,Verdasco,27.89,3.82
37,Haas,27.87,3.42
38,Brown,27.81,5.35
39,Zemlja,27.80,4.53
40,Darcis,27.78,5.20
41,Pella,27.74,5.15
42,Mayer,27.64,3.15
43,Davydenko,27.36,4.34
44,Llodra,27.30,4.70
45,Hewitt,27.29,4.60
46,Hanescu,27.23,4.11
47,Tomic,27.17,3.91
48,Istomin,27.13,4.44
49,Kubot,27.07,4.36
50,Raonic,26.99,3.83
51,Chardy,26.99,3.64
52,Simon,26.97,3.62
53,Sock,26.37,5.29
54,Millot,26.30,6.09
55,Bellucci,26.15,5.99
56,Gabashvili,26.10,4.61
57,Thiem,25.98,5.57
58,Pospisil,25.94,4.56
59,Lu,25.81,4.64
60,Lajovic,25.80,6.30
61,Reynolds,25.54,6.41
62,Tipsarevic,25.31,5.03
63,Benneteau,25.26,3.94
64,Monaco,25.20,5.07
65,Kyrgios,25.20,5.07
66,Dzumhur,25.15,5.55
67,Kohlschreiber,25.09,5.08
68,Berrer,25.05,6.27
69,Altamirano,25.00,8.33
70,Baker,25.00,8.33
71,Evans,25.00,8.33
72,Olivetti,25.00,8.33
73,Martin,25.00,8.33
74,Fabbiano,25.00,8.33
75,Rola,24.96,6.26
76,Cuevas,24.93,5.47
77,Przysiezny,24.74,4.19
78,Donskoy,24.66,5.06
79,RogerVasselin,24.42,4.31
80,Wang,24.29,6.24
81,Struff,24.12,4.75
82,Ram,23.98,6.18
83,DeSchepper,23.81,5.09
84,Stakhovsky,23.72,4.61
85,Levine,23.68,5.43
86,Agut,23.64,5.69
87,Brands,23.52,5.27
88,Golubev,23.51,7.54
89,Delbonis,23.39,5.48
90,Mannarino,23.39,4.05
91,Pouille,23.02,5.10
