#,P1,Skill,Uncertainty
92,Devvarman,23.01,5.17
93,Dolgopolov,22.88,4.72
94,Ebden,22.77,5.18
95,Nieminen,22.66,4.49
96,Nedovyesov,22.61,7.17
97,Volandri,22.51,7.17
98,Falla,22.40,5.07
99,GarciaLopez,22.39,4.45
100,Smyczek,22.18,7.12
101,Harrison,22.16,5.02
102,Rochus,22.08,7.02
103,Sousa,22.01,5.35
104,Blake,21.98,5.23
105,Mathieu,21.94,5.72
106,Klahn,21.90,6.99
107,BogomolovJr,21.87,7.04
108,Silva,21.86,7.09
109,Giraldo,21.74,4.99
110,Edmund,21.73,7.07
111,Kavcic,21.64,4.47
112,Beck,21.58,6.99
113,Soeda,21.57,5.28
114,Karlovic,21.55,7.20
115,GimenoTraver,21.51,4.80
116,Rufin,21.41,5.56
117,Dancevic,21.39,6.97
118,Zeballos,21.04,5.08
119,Haase,21.00,4.89
120,Ungur,20.96,6.91
121,Goffin,20.94,6.55
122,Rosol,20.64,4.88
123,Tursunov,20.63,4.55
124,Bakker,20.61,7.17
125,Thompson,20.61,7.17
126,Sela,20.61,7.17
127,Riba,20.61,7.17
128,Muller,20.61,7.17
129,Gonzalez,20.61,7.17
130,Nava,20.61,7.17
131,Guez,20.61,7.17
132,Kamke,20.37,5.16
133,Mahut,20.34,5.17
134,Zopp,20.18,6.39
135,Andreev,20.16,6.90
136,Knittel,20.13,6.90
137,Serra,20.10,6.71
138,Bolelli,20.06,6.47
139,Marchenko,20.00,6.75
140,Groth,19.93,6.86
141,Reister,19.74,4.68
142,Kukushkin,19.74,6.97
143,Stepanek,19.60,5.27
144,Kudla,19.59,4.87
145,Schepper,19.58,6.94
146,DutraSilva,19.47,6.74
147,Ward,19.45,6.66
148,Bogomolov,19.33,6.76
149,DeBakker,19.08,6.85
150,Zhang,19.01,6.87
151,Teixeira,19.01,6.87
152,Hajek,19.00,4.80
153,Montanes,18.93,4.76
154,Kuznetsov,18.60,4.51
155,Andujar,18.60,4.66
156,HutaGalung,18.57,6.60
157,Wu,18.56,6.62
158,Elias,18.53,6.62
159,Reid,18.37,6.78
160,Malisse,18.34,6.29
161,Gojowczyk,18.14,6.71
162,Baghdatis,17.95,5.72
163,CarrenoBusta,17.87,5.94
164,Berlocq,17.77,5.92
165,Vesely,17.65,6.25
166,Russell,17.41,5.86
167,Gicquel,17.22,6.06
168,Alund,17.07,6.24
169,Becker,17.03,5.44
170,Odesnik,16.93,6.24
171,Bedene,16.92,5.64
172,Williams,16.85,6.09
173,Petzschner,16.54,5.93
174,Granollers,16.50,5.64
175,HaiderMaurer,16.22,5.85
176,Lacko,16.19,5.43
177,Matosevic,15.69,5.86
178,Johnson,15.67,5.69
179,Ramos,15.58,5.54
180,Berankis,14.58,5.54
181,Lorenzi,14.42,5.81
182,Duckworth,13.87,5.29
