#,P1,Skill,Uncertainty
1,Golden State Warriors,46.98,3.68
2,Atlanta Hawks,46.97,3.86
3,Portland Trail Blazers,45.93,3.75
4,Memphis Grizzlies,43.32,5.92
5,Washington Wizards,42.77,5.58
6,Dallas Mavericks,40.42,8.73
7,Houston Rockets,38.90,9.44
8,Los Angeles Clippers,38.44,7.17
9,Toronto Raptors,37.60,6.10
10,San Antonio Spurs,36.74,6.19
11,Chicago Bulls,34.74,5.62
12,Phoenix Suns,30.00,6.93
13,Milwaukee Bucks,28.90,5.58
14,Oklahoma City Thunder,27.11,5.17
15,Cleveland Cavaliers,25.35,8.10
16,New Orleans Pelicans,25.07,5.76
17,Miami Heat,22.02,6.25
18,Denver Nuggets,19.51,6.59
19,Brooklyn Nets,16.11,7.26
20,Detroit Pistons,14.24,6.13
21,Charlotte Hornets,13.72,6.44
22,Sacramento Kings,13.45,7.25
23,Indiana Pacers,11.05,6.44
24,Orlando Magic,9.69,5.79
25,Utah Jazz,9.53,6.34
26,Boston Celtics,8.82,5.73
27,Los Angeles Lakers,7.60,7.07
28,Philadelphia 76ers,3.18,4.10
29,Minnesota Timberwolves,2.74,4.44
30,New York Knicks,2.58,4.56
