Date,T6_4_Mon_May_30_19:09:34_2016
Algorithm,Gibbs
Dataset,Football
Number of matches,190
Number of players,20
Number of teams,20
Number of iterations,4000
Elapsed time,73
Variance of proposal,None
Proposals accepted,None
Proposals rejected,None
