#,P1,Skill,Uncertainty
1,Besiktas,40.07,6.50
2,Fenerbahce,37.52,6.98
3,Kasimpasa,30.69,7.15
4,Akhisar Belediyespor,29.79,7.20
5,Galatasaray,29.66,7.33
6,Buyuksehyr,27.31,8.38
7,Trabzonspor,26.48,7.78
8,Rizespor,26.00,7.37
9,Konyaspor,25.99,7.37
10,Gaziantepspor,25.90,7.52
11,Antalyaspor,24.34,6.89
12,Kayserispor,23.86,6.73
13,Osmanlispor,21.63,7.40
14,Sivasspor,21.18,6.76
15,Genclerbirligi,16.32,7.80
16,Bursaspor,15.22,8.41
17,Mersin Idman Yurdu,13.89,7.55
18,Eskisehirspor,9.32,6.71
