Date,T6_3_Mon_May_30_19:08:14_2016
Algorithm,Gibbs
Dataset,Football
Number of matches,153
Number of players,18
Number of teams,18
Number of iterations,4000
Elapsed time,59
Variance of proposal,None
Proposals accepted,None
Proposals rejected,None
