#,P1,Skill,Uncertainty
1,Barcelona,32.41,2.00
2,Ath Madrid,31.75,2.04
3,Real Madrid,30.53,1.99
4,Villarreal,29.93,2.00
5,Eibar,27.98,1.93
6,Celta,27.50,1.90
7,Malaga,27.18,1.80
8,Sevilla,26.80,1.83
9,La Coruna,26.52,1.76
10,Ath Bilbao,26.28,1.86
11,Valencia,26.15,1.73
12,Getafe,25.56,1.90
13,Espanol,25.31,1.92
14,Sociedad,24.45,1.94
15,Betis,24.42,1.86
16,Granada,24.42,1.86
17,Las Palmas,24.35,1.82
18,Levante,22.63,1.84
19,Vallecano,21.59,2.00
20,Sp Gijon,21.51,2.04
