#,P1,Skill,Uncertainty
1,Golden State Warriors,40.33,1.12
2,Atlanta Hawks,39.30,1.02
3,Houston Rockets,39.25,1.03
4,Dallas Mavericks,38.25,1.01
5,Memphis Grizzlies,38.20,1.01
6,Los Angeles Clippers,38.13,1.03
7,San Antonio Spurs,38.12,1.00
8,Cleveland Cavaliers,37.74,0.98
9,Chicago Bulls,36.97,0.97
10,Portland Trail Blazers,36.86,0.99
11,Toronto Raptors,36.52,0.99
12,Oklahoma City Thunder,35.72,0.99
13,New Orleans Pelicans,35.69,0.98
14,Washington Wizards,35.32,0.98
15,Utah Jazz,35.07,0.98
16,Milwaukee Bucks,34.45,0.98
17,Phoenix Suns,33.82,0.99
18,Boston Celtics,33.68,0.99
19,Brooklyn Nets,33.40,0.98
20,Miami Heat,32.78,0.99
21,Indiana Pacers,32.57,0.99
22,Detroit Pistons,32.55,0.98
23,Denver Nuggets,32.45,0.98
24,Charlotte Hornets,31.77,0.99
25,Sacramento Kings,31.14,1.02
26,Orlando Magic,29.63,1.02
27,Los Angeles Lakers,28.62,1.05
28,New York Knicks,26.27,1.10
29,Philadelphia 76ers,26.22,1.11
30,Minnesota Timberwolves,25.12,1.17
