#,P1,Skill,Uncertainty
1,Warriors,40.33,1.12
2,Hawks,39.30,1.02
3,Rockets,39.25,1.03
4,Mavericks,38.25,1.01
5,Grizzlies,38.20,1.01
26,Magic,29.63,1.02
27,Lakers,28.62,1.05
28,Knicks,26.27,1.10
29,76ers,26.22,1.11
30,Timberwolves,25.12,1.17
