Boston Celtics,Los Angeles Clippers,-1
Dallas Mavericks,Memphis Grizzlies,1
Toronto Raptors,Milwaukee Bucks,1
New Orleans Pelicans,New York Knicks,-1
Los Angeles Lakers,Phoenix Suns,-1
Sacramento Kings,Portland Trail Blazers,-1
Philadelphia 76ers,Washington Wizards,-1
San Antonio Spurs,Denver Nuggets,1
Oklahoma City Thunder,Miami Heat,1
Indiana Pacers,Atlanta Hawks,-1
Miami Heat,Charlotte Hornets,-1
Utah Jazz,Cleveland Cavaliers,-1
Orlando Magic,Detroit Pistons,-1
Houston Rockets,Golden State Warriors,-1
Toronto Raptors,Memphis Grizzlies,-1
Dallas Mavericks,Minnesota Timberwolves,1
Los Angeles Lakers,New Orleans Pelicans,-1
New York Knicks,Philadelphia 76ers,1
Portland Trail Blazers,Phoenix Suns,-1
Brooklyn Nets,Sacramento Kings,1
Oklahoma City Thunder,Washington Wizards,1
San Antonio Spurs,Chicago Bulls,-1
Brooklyn Nets,Los Angeles Clippers,-1
Utah Jazz,Milwaukee Bucks,1
Boston Celtics,Portland Trail Blazers,1
Oklahoma City Thunder,Atlanta Hawks,-1
Charlotte Hornets,Cleveland Cavaliers,-1
Chicago Bulls,Dallas Mavericks,1
Boston Celtics,Denver Nuggets,1
Sacramento Kings,Golden State Warriors,-1
Indiana Pacers,Miami Heat,-1
New Orleans Pelicans,Minnesota Timberwolves,1
Orlando Magic,New York Knicks,-1
Toronto Raptors,Philadelphia 76ers,1
Houston Rockets,Phoenix Suns,1
Los Angeles Lakers,San Antonio Spurs,-1
New York Knicks,Charlotte Hornets,-1
Philadelphia 76ers,Memphis Grizzlies,-1
Detroit Pistons,Milwaukee Bucks,-1
Washington Wizards,Portland Trail Blazers,-1
Brooklyn Nets,Utah Jazz,-1
Minnesota Timberwolves,Atlanta Hawks,-1
Miami Heat,Chicago Bulls,1
Oklahoma City Thunder,Cleveland Cavaliers,-1
Washington Wizards,Denver Nuggets,1
Boston Celtics,Golden State Warriors,-1
Houston Rockets,Los Angeles Lakers,1
Dallas Mavericks,New Orleans Pelicans,-1
Indiana Pacers,Orlando Magic,1
Los Angeles Clippers,Phoenix Suns,1
Milwaukee Bucks,San Antonio Spurs,-1
Detroit Pistons,Toronto Raptors,-1
Denver Nuggets,Los Angeles Clippers,-1
Orlando Magic,Memphis Grizzlies,-1
Philadelphia 76ers,New Orleans Pelicans,-1
Minnesota Timberwolves,Oklahoma City Thunder,-1
Boston Celtics,Utah Jazz,1
Memphis Grizzlies,Dallas Mavericks,1
Cleveland Cavaliers,Detroit Pistons,1
Chicago Bulls,Golden State Warriors,1
Toronto Raptors,Indiana Pacers,1
Washington Wizards,Los Angeles Lakers,1
Milwaukee Bucks,Miami Heat,1
Brooklyn Nets,Atlanta Hawks,-1
Portland Trail Blazers,Cleveland Cavaliers,-1
Dallas Mavericks,Houston Rockets,-1
Boston Celtics,Minnesota Timberwolves,-1
Denver Nuggets,New Orleans Pelicans,1
Oklahoma City Thunder,New York Knicks,-1
Detroit Pistons,Philadelphia 76ers,-1
Washington Wizards,Phoenix Suns,-1
Charlotte Hornets,San Antonio Spurs,-1
Sacramento Kings,Toronto Raptors,-1
Los Angeles Clippers,Utah Jazz,1
New York Knicks,Indiana Pacers,-1
Chicago Bulls,Los Angeles Lakers,-1
Denver Nuggets,Memphis Grizzlies,-1
Milwaukee Bucks,Orlando Magic,1
Portland Trail Blazers,Atlanta Hawks,-1
Houston Rockets,Boston Celtics,1
Toronto Raptors,Brooklyn Nets,1
Sacramento Kings,Cleveland Cavaliers,-1
Dallas Mavericks,Miami Heat,1
Los Angeles Clippers,New Orleans Pelicans,-1
Minnesota Timberwolves,Philadelphia 76ers,-1
Chicago Bulls,Phoenix Suns,-1
Golden State Warriors,Utah Jazz,-1
Philadelphia 76ers,Atlanta Hawks,-1
Charlotte Hornets,Denver Nuggets,1
Houston Rockets,Detroit Pistons,-1
Phoenix Suns,Golden State Warriors,-1
Sacramento Kings,Indiana Pacers,1
Oklahoma City Thunder,Memphis Grizzlies,-1
Portland Trail Blazers,Milwaukee Bucks,-1
Cleveland Cavaliers,Minnesota Timberwolves,1
Dallas Mavericks,Orlando Magic,1
Los Angeles Clippers,San Antonio Spurs,1
Toronto Raptors,Washington Wizards,1
Miami Heat,Boston Celtics,1
Los Angeles Lakers,New York Knicks,-1
Los Angeles Clippers,Brooklyn Nets,-1
Philadelphia 76ers,Cleveland Cavaliers,-1
Minnesota Timberwolves,Dallas Mavericks,-1
Atlanta Hawks,New Orleans Pelicans,-1
Orlando Magic,Oklahoma City Thunder,-1
Memphis Grizzlies,Phoenix Suns,1
Milwaukee Bucks,Toronto Raptors,1
Charlotte Hornets,Washington Wizards,1
Miami Heat,Detroit Pistons,-1
Boston Celtics,New York Knicks,1
Denver Nuggets,Philadelphia 76ers,-1
Utah Jazz,Portland Trail Blazers,-1
Golden State Warriors,Sacramento Kings,1
Washington Wizards,Atlanta Hawks,-1
Denver Nuggets,Boston Celtics,-1
Dallas Mavericks,Golden State Warriors,-1
Chicago Bulls,Houston Rockets,-1
Detroit Pistons,Indiana Pacers,-1
Los Angeles Lakers,Milwaukee Bucks,-1
Miami Heat,Minnesota Timberwolves,-1
Oklahoma City Thunder,New Orleans Pelicans,1
