Houston Rockets,Los Angeles Lakers,1
Orlando Magic,New Orleans Pelicans,-1
Dallas Mavericks,San Antonio Spurs,-1
Brooklyn Nets,Boston Celtics,-1
Milwaukee Bucks,Charlotte Hornets,-1
Detroit Pistons,Denver Nuggets,-1
Philadelphia 76ers,Indiana Pacers,-1
Minnesota Timberwolves,Memphis Grizzlies,-1
Washington Wizards,Miami Heat,-1
Chicago Bulls,New York Knicks,1
Los Angeles Lakers,Phoenix Suns,-1
Oklahoma City Thunder,Portland Trail Blazers,-1
Golden State Warriors,Sacramento Kings,1
Atlanta Hawks,Toronto Raptors,-1
Houston Rockets,Utah Jazz,1
New York Knicks,Cleveland Cavaliers,1
Utah Jazz,Dallas Mavericks,-1
Oklahoma City Thunder,Los Angeles Clippers,-1
Detroit Pistons,Minnesota Timberwolves,-1
Washington Wizards,Orlando Magic,1
Cleveland Cavaliers,Chicago Bulls,1
Memphis Grizzlies,Indiana Pacers,1
Los Angeles Clippers,Los Angeles Lakers,1
Philadelphia 76ers,Milwaukee Bucks,-1
San Antonio Spurs,Phoenix Suns,-1
Portland Trail Blazers,Sacramento Kings,-1
Indiana Pacers,Atlanta Hawks,-1
Memphis Grizzlies,Charlotte Hornets,1
Brooklyn Nets,Detroit Pistons,1
Los Angeles Lakers,Golden State Warriors,-1
Boston Celtics,Houston Rockets,-1
Chicago Bulls,Minnesota Timberwolves,1
Dallas Mavericks,New Orleans Pelicans,1
Denver Nuggets,Oklahoma City Thunder,-1
Toronto Raptors,Orlando Magic,1
Miami Heat,Philadelphia 76ers,1
Phoenix Suns,Utah Jazz,-1
Milwaukee Bucks,Washington Wizards,-1
Sacramento Kings,Los Angeles Clippers,1
Toronto Raptors,Miami Heat,-1
Charlotte Hornets,New York Knicks,-1
Golden State Warriors,Portland Trail Blazers,1
Oklahoma City Thunder,Brooklyn Nets,-1
Boston Celtics,Dallas Mavericks,-1
Sacramento Kings,Denver Nuggets,1
Utah Jazz,Los Angeles Clippers,-1
New Orleans Pelicans,Memphis Grizzlies,-1
Houston Rockets,Philadelphia 76ers,1
Orlando Magic,Chicago Bulls,-1
Milwaukee Bucks,Indiana Pacers,1
Phoenix Suns,Los Angeles Lakers,1
Houston Rockets,Miami Heat,1
Charlotte Hornets,New Orleans Pelicans,-1
Washington Wizards,New York Knicks,1
Cleveland Cavaliers,Portland Trail Blazers,-1
Oklahoma City Thunder,Toronto Raptors,-1
Toronto Raptors,Boston Celtics,1
Minnesota Timberwolves,Brooklyn Nets,1
Miami Heat,Charlotte Hornets,-1
New York Knicks,Detroit Pistons,-1
Los Angeles Clippers,Golden State Warriors,-1
Chicago Bulls,Milwaukee Bucks,1
Orlando Magic,Philadelphia 76ers,1
Memphis Grizzlies,Phoenix Suns,1
Denver Nuggets,Sacramento Kings,-1
Atlanta Hawks,San Antonio Spurs,-1
Cleveland Cavaliers,Utah Jazz,-1
Indiana Pacers,Washington Wizards,-1
San Antonio Spurs,Houston Rockets,-1
Dallas Mavericks,Portland Trail Blazers,-1
Indiana Pacers,Boston Celtics,-1
New York Knicks,Brooklyn Nets,-1
Atlanta Hawks,Charlotte Hornets,-1
Cleveland Cavaliers,Denver Nuggets,1
Milwaukee Bucks,Detroit Pistons,-1
Memphis Grizzlies,Oklahoma City Thunder,1
Minnesota Timberwolves,Orlando Magic,-1
Chicago Bulls,Philadelphia 76ers,1
Sacramento Kings,Phoenix Suns,1
Washington Wizards,Toronto Raptors,-1
Dallas Mavericks,Utah Jazz,1
New York Knicks,Atlanta Hawks,-1
Boston Celtics,Chicago Bulls,1
Golden State Warriors,Houston Rockets,1
Washington Wizards,Indiana Pacers,1
