Date,T6_5_Mon_May_30_19:16:57_2016
Algorithm,MH
Dataset,Football
Number of matches,306
Number of players,18
Number of teams,18
Number of iterations,5000
Elapsed time,37
Variance of proposal,1.0
Proposals accepted,3357.0
Proposals rejected,1643.0
