Akhisar Belediyespor,Konyaspor,-1
Galatasaray,Sivasspor,1
Kasimpasa,Gaziantepspor,-1
Kayserispor,Osmanlispor,1
Antalyaspor,Buyuksehyr,-1
Bursaspor,Trabzonspor,1
Rizespor,Genclerbirligi,-1
Eskisehirspor,Fenerbahce,-1
Konyaspor,Kayserispor,1
Mersin Idman Yurdu,Akhisar Belediyespor,0
Osmanlispor,Galatasaray,1
Fenerbahce,Rizespor,1
Gaziantepspor,Bursaspor,-1
Genclerbirligi,Antalyaspor,1
Sivasspor,Eskisehirspor,-1
Buyuksehyr,Kasimpasa,0
Antalyaspor,Fenerbahce,1
Osmanlispor,Sivasspor,1
Bursaspor,Buyuksehyr,0
Galatasaray,Konyaspor,0
Kayserispor,Mersin Idman Yurdu,-1
Akhisar Belediyespor,Trabzonspor,1
Besiktas,Gaziantepspor,1
Rizespor,Eskisehirspor,0
Kasimpasa,Genclerbirligi,-1
Fenerbahce,Kasimpasa,1
Genclerbirligi,Bursaspor,1
Konyaspor,Osmanlispor,0
Mersin Idman Yurdu,Galatasaray,1
Buyuksehyr,Besiktas,0
Eskisehirspor,Antalyaspor,1
Gaziantepspor,Akhisar Belediyespor,-1
Sivasspor,Rizespor,1
Trabzonspor,Kayserispor,1
Besiktas,Mersin Idman Yurdu,1
Konyaspor,Sivasspor,1
Antalyaspor,Rizespor,1
Bursaspor,Fenerbahce,0
Kasimpasa,Eskisehirspor,1
Akhisar Belediyespor,Buyuksehyr,0
Galatasaray,Trabzonspor,1
Kayserispor,Gaziantepspor,0
Osmanlispor,Mersin Idman Yurdu,1
Besiktas,Genclerbirligi,1
Buyuksehyr,Kayserispor,1
Eskisehirspor,Bursaspor,-1
Mersin Idman Yurdu,Konyaspor,-1
Rizespor,Kasimpasa,1
Trabzonspor,Osmanlispor,-1
Gaziantepspor,Galatasaray,1
Genclerbirligi,Akhisar Belediyespor,1
Sivasspor,Antalyaspor,0
Fenerbahce,Besiktas,1
Mersin Idman Yurdu,Sivasspor,1
Bursaspor,Rizespor,1
Kayserispor,Genclerbirligi,-1
Osmanlispor,Gaziantepspor,0
Akhisar Belediyespor,Fenerbahce,-1
Galatasaray,Buyuksehyr,0
Kasimpasa,Antalyaspor,1
Konyaspor,Trabzonspor,1
Besiktas,Eskisehirspor,1
Trabzonspor,Mersin Idman Yurdu,1
Buyuksehyr,Osmanlispor,-1
Gaziantepspor,Konyaspor,-1
Rizespor,Besiktas,-1
Eskisehirspor,Akhisar Belediyespor,0
Fenerbahce,Kayserispor,1
Genclerbirligi,Galatasaray,0
Antalyaspor,Bursaspor,1
Sivasspor,Kasimpasa,1
Trabzonspor,Besiktas,-1
