Bayern Munich,Hamburg,1
Augsburg,Hertha,-1
Darmstadt,Hannover,0
Dortmund,M'gladbach,1
Leverkusen,Hoffenheim,1
Mainz,Ingolstadt,-1
Werder Bremen,Schalke 04,-1
Stuttgart,FC Koln,-1
Wolfsburg,Ein Frankfurt,1
Hertha,Werder Bremen,0
Ein Frankfurt,Augsburg,0
FC Koln,Wolfsburg,0
Hamburg,Stuttgart,1
Hannover,Leverkusen,-1
Hoffenheim,Bayern Munich,-1
Schalke 04,Darmstadt,0
Ingolstadt,Dortmund,-1
M'gladbach,Mainz,-1
Wolfsburg,Schalke 04,1
Augsburg,Ingolstadt,-1
Bayern Munich,Leverkusen,1
Darmstadt,Hoffenheim,0
FC Koln,Hamburg,1
Mainz,Hannover,1
Stuttgart,Ein Frankfurt,-1
Dortmund,Hertha,1
Werder Bremen,M'gladbach,1
M'gladbach,Hamburg,-1
Bayern Munich,Augsburg,1
Ein Frankfurt,FC Koln,1
Hannover,Dortmund,-1
Hertha,Stuttgart,1
Ingolstadt,Wolfsburg,0
Leverkusen,Darmstadt,-1
Hoffenheim,Werder Bremen,-1
Schalke 04,Mainz,1
Mainz,Hoffenheim,1
Darmstadt,Bayern Munich,-1
FC Koln,M'gladbach,1
Hamburg,Ein Frankfurt,0
Werder Bremen,Ingolstadt,-1
Wolfsburg,Hertha,1
Augsburg,Hannover,1
Dortmund,Leverkusen,1
Stuttgart,Schalke 04,-1
Bayern Munich,Wolfsburg,1
Darmstadt,Werder Bremen,1
Hertha,FC Koln,1
Ingolstadt,Hamburg,-1
Hannover,Stuttgart,-1
Hoffenheim,Dortmund,0
Leverkusen,Mainz,1
M'gladbach,Augsburg,1
Schalke 04,Ein Frankfurt,1
FC Koln,Ingolstadt,0
Augsburg,Hoffenheim,-1
Hamburg,Schalke 04,-1
Mainz,Bayern Munich,-1
Stuttgart,M'gladbach,-1
Werder Bremen,Leverkusen,-1
Wolfsburg,Hannover,0
Dortmund,Darmstadt,0
Ein Frankfurt,Hertha,0
Darmstadt,Mainz,-1
Hannover,Werder Bremen,1
Hertha,Hamburg,1
Hoffenheim,Stuttgart,0
Ingolstadt,Ein Frankfurt,1
M'gladbach,Wolfsburg,1
Bayern Munich,Dortmund,1
Leverkusen,Augsburg,0
Schalke 04,FC Koln,-1
Mainz,Dortmund,-1
Augsburg,Darmstadt,-1
Ein Frankfurt,M'gladbach,-1
Hamburg,Leverkusen,0
Schalke 04,Hertha,1
Werder Bremen,Bayern Munich,-1
Wolfsburg,Hoffenheim,1
FC Koln,Hannover,-1
Stuttgart,Ingolstadt,1
Hoffenheim,Hamburg,-1
Bayern Munich,FC Koln,1
Darmstadt,Wolfsburg,-1
Hannover,Ein Frankfurt,-1
Ingolstadt,Hertha,-1
Leverkusen,Stuttgart,1
Mainz,Werder Bremen,-1
Dortmund,Augsburg,1
M'gladbach,Schalke 04,1
Ein Frankfurt,Bayern Munich,0
Augsburg,Mainz,0
FC Koln,Hoffenheim,0
Hertha,M'gladbach,-1
Schalke 04,Ingolstadt,0
Werder Bremen,Dortmund,-1
Wolfsburg,Leverkusen,1
Hamburg,Hannover,-1
Stuttgart,Darmstadt,1
Hannover,Hertha,-1
Bayern Munich,Stuttgart,1
Darmstadt,Hamburg,0
Hoffenheim,Ein Frankfurt,0
Leverkusen,FC Koln,-1
Mainz,Wolfsburg,1
M'gladbach,Ingolstadt,0
Augsburg,Werder Bremen,-1
Dortmund,Schalke 04,1
Hamburg,Dortmund,1
Ein Frankfurt,Leverkusen,-1
FC Koln,Mainz,0
M'gladbach,Hannover,1
Schalke 04,Bayern Munich,-1
Stuttgart,Augsburg,-1
Wolfsburg,Werder Bremen,1
Hertha,Hoffenheim,1
Ingolstadt,Darmstadt,1
Darmstadt,FC Koln,0
Bayern Munich,Hertha,1
Hannover,Ingolstadt,1
Hoffenheim,M'gladbach,0
Mainz,Ein Frankfurt,1
Werder Bremen,Hamburg,-1
Augsburg,Wolfsburg,0
Dortmund,Stuttgart,1
Leverkusen,Schalke 04,0
Schalke 04,Hannover,1
FC Koln,Augsburg,-1
Hamburg,Mainz,-1
Hertha,Leverkusen,1
Ingolstadt,Hoffenheim,0
M'gladbach,Bayern Munich,1
Wolfsburg,Dortmund,-1
Ein Frankfurt,Darmstadt,-1
Stuttgart,Werder Bremen,0
Mainz,Stuttgart,0
Bayern Munich,Ingolstadt,1
Darmstadt,Hertha,-1
Hoffenheim,Hannover,1
Leverkusen,M'gladbach,1
Werder Bremen,FC Koln,0
Wolfsburg,Hamburg,0
Augsburg,Schalke 04,1
Dortmund,Ein Frankfurt,1
Schalke 04,Hoffenheim,1
Ein Frankfurt,Werder Bremen,1
FC Koln,Dortmund,1
Hamburg,Augsburg,-1
Hannover,Bayern Munich,-1
Ingolstadt,Leverkusen,-1
Stuttgart,Wolfsburg,1
Hertha,Mainz,1
M'gladbach,Darmstadt,1
