#,P1,Skill,Uncertainty
1,Fenerbahce,30.92,2.22
2,Besiktas,30.28,2.38
3,Kasimpasa,28.03,2.06
4,Buyuksehyr,27.68,2.19
5,Galatasaray,27.50,1.88
14,Sivasspor,23.42,1.93
15,Bursaspor,22.20,2.14
16,Genclerbirligi,21.40,1.96
17,Mersin Idman Yurdu,20.39,2.04
18,Eskisehirspor,19.73,2.28
