Date,T5_15_Mon_May_30_18:56:44_2016
Algorithm,MH
Dataset,Tennis
Number of matches,491
Number of players,182
Number of teams,182
Number of iterations,5000
Elapsed time,54
Variance of proposal,1.0
Proposals accepted,3278.0
Proposals rejected,1722.0
