Date,T6_4_Mon_May_30_19:09:34_2016
Algorithm,MH
Dataset,Football
Number of matches,190
Number of players,20
Number of teams,20
Number of iterations,5000
Elapsed time,21
Variance of proposal,1.0
Proposals accepted,3668.0
Proposals rejected,1332.0
