#,P1,Skill,Uncertainty
1,Besiktas,43.85,5.91
2,Fenerbahce,41.10,8.42
3,Akhisar Belediyespor,35.86,9.16
4,Kasimpasa,34.19,7.97
5,Galatasaray,32.11,7.29
14,Sivasspor,22.07,6.19
15,Genclerbirligi,12.67,7.82
16,Bursaspor,11.41,7.29
17,Mersin Idman Yurdu,11.38,6.54
18,Eskisehirspor,5.97,5.18
