#,P1,Skill,Uncertainty
1,Ath Madrid,43.91,4.56
2,Barcelona,43.05,5.81
3,Real Madrid,41.90,5.62
4,Villarreal,38.30,6.91
5,Celta,33.14,6.69
16,Granada,16.56,7.65
17,Espanol,14.61,5.66
18,Sp Gijon,12.17,6.17
19,Vallecano,12.08,6.79
20,Levante,12.06,6.75
