#,P1,Skill,Uncertainty
1,Nadal,46.85,2.43
2,Djokovic,46.11,2.94
3,Murray,45.76,3.33
4,Wawrinka,45.49,3.51
5,Ferrer,44.98,3.82
6,Robredo,43.47,4.95
7,Federer,43.16,4.92
8,Berdych,43.05,5.12
9,Gasquet,42.64,5.35
10,Tsonga,41.27,6.36
