#,P1,Skill,Uncertainty
1,Bayern Munich,41.96,6.05
2,Dortmund,33.30,8.64
3,Hertha,25.97,8.89
4,M'gladbach,22.67,8.47
5,Leverkusen,21.67,7.92
14,Ein Frankfurt,16.01,7.27
15,Hoffenheim,14.27,6.76
16,Werder Bremen,12.18,7.16
17,Stuttgart,11.51,6.82
18,Hannover,11.02,7.03
