Date,T6_2_Mon_May_30_19:06:51_2016
Algorithm,MH
Dataset,Football
Number of matches,153
Number of players,18
Number of teams,18
Number of iterations,5000
Elapsed time,17
Variance of proposal,1.0
Proposals accepted,3808.0
Proposals rejected,1192.0
