#,P1,Skill,Uncertainty
1,Bayern Munich,35.39,2.57
2,Dortmund,29.18,2.20
3,Hertha,28.16,2.17
4,M'gladbach,26.50,2.13
5,Leverkusen,26.33,2.13
14,Darmstadt,23.42,1.95
15,Hoffenheim,23.37,2.01
16,Stuttgart,22.77,2.06
17,Hannover,22.34,2.17
18,Werder Bremen,21.84,2.16
