Date,T5_12_Mon_May_30_18:46:43_2016
Algorithm,MH
Dataset,Tennis
Number of matches,126
Number of players,182
Number of teams,182
Number of iterations,5000
Elapsed time,14
Variance of proposal,1.0
Proposals accepted,4188.0
Proposals rejected,812.0
