#,P1,Skill,Uncertainty
1,Besiktas,32.53,1.53
2,Fenerbahce,31.71,1.44
3,Konyaspor,29.97,1.42
4,Buyuksehyr,29.37,1.32
5,Osmanlispor,28.22,1.38
14,Sivasspor,25.76,1.28
15,Gaziantepspor,25.57,1.32
16,Trabzonspor,25.54,1.38
17,Eskisehirspor,24.25,1.42
18,Mersin Idman Yurdu,23.44,1.53
