#,P1,Skill,Uncertainty
1,Leicester,29.35,1.88
2,Arsenal,28.66,1.94
3,Tottenham,28.42,1.79
4,Man City,28.22,2.01
5,Liverpool,28.08,1.80
6,Crystal Palace,27.10,1.90
7,Man United,26.48,1.77
8,West Ham,26.02,1.84
9,Stoke,25.77,1.92
10,Everton,25.73,1.83
11,West Brom,25.32,1.76
12,Watford,25.18,1.94
13,Southampton,24.65,1.82
14,Bournemouth,24.01,1.78
15,Chelsea,23.98,1.84
16,Swansea,23.12,1.83
17,Norwich,23.10,1.91
18,Newcastle,22.52,1.93
19,Aston Villa,20.13,1.90
20,Sunderland,19.37,1.98
