#,P1,Skill,Uncertainty
1,Leicester,29.35,1.88
2,Arsenal,28.66,1.94
3,Tottenham,28.42,1.79
4,Man City,28.22,2.01
5,Liverpool,28.08,1.80
16,Swansea,23.12,1.83
17,Norwich,23.10,1.91
18,Newcastle,22.52,1.93
19,Aston Villa,20.13,1.90
20,Sunderland,19.37,1.98
