#,P1,Skill,Uncertainty
1,Warriors,46.84,2.19
2,Hawks,42.17,4.05
3,Rockets,40.77,4.18
4,Clippers,40.61,4.27
5,Grizzlies,39.79,4.31
26,Magic,10.31,4.36
27,Lakers,7.73,4.29
28,76ers,4.41,3.41
29,Timberwolves,4.06,3.20
30,Knicks,3.68,3.07
