#,P1,Skill,Uncertainty
1,Arsenal,35.67,7.63
2,Leicester,34.74,7.22
3,Man City,34.11,7.79
4,Tottenham,32.35,7.23
5,Liverpool,29.90,7.40
16,Swansea,23.48,7.41
17,Chelsea,23.45,7.69
18,Newcastle,20.13,7.86
19,Sunderland,13.27,7.64
20,Aston Villa,13.04,7.56
