#,P1,Skill,Uncertainty
1,Arsenal,41.52,6.30
2,Leicester,38.95,5.95
3,Man City,34.98,6.61
4,Tottenham,34.36,6.70
5,Liverpool,30.31,6.67
6,Stoke,29.79,8.60
7,Man United,28.04,6.89
8,Everton,27.98,6.50
9,Crystal Palace,27.86,6.98
10,Watford,26.62,7.48
11,West Ham,25.31,7.58
12,Norwich,24.65,7.40
13,West Brom,23.76,8.09
14,Bournemouth,22.83,8.33
15,Chelsea,21.69,5.82
16,Swansea,21.51,7.14
17,Southampton,20.69,7.78
18,Newcastle,14.19,6.56
19,Aston Villa,7.71,5.52
20,Sunderland,7.64,5.58
